,title,price,link
0,"HP Laptop 15s, 12th Gen Intel
                                        Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual
                                        Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU 
","36,990",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_1?crid=2Y51ZQCOJMJ4Q&dib=eyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto&dib_tag=se&keywords=laptop&qid=1727768868&sprefix=laptop%2Caps%2C1067&sr=8-1
1,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","29,990",https://amazon.in//Acer-i3-1305U-Premium-Windows-AL15-53/dp/B0DB1SDB87/ref=sr_1_2?crid=2Y51ZQCOJMJ4Q&dib=eyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto&dib_tag=se&keywords=laptop&qid=1727768868&sprefix=laptop%2Caps%2C1067&sr=8-2
2,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_6?crid=2Y51ZQCOJMJ4Q&dib=eyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto&dib_tag=se&keywords=laptop&qid=1727768868&sprefix=laptop%2Caps%2C1067&sr=8-6
3,"Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 4050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41, 15.6"" FHD Display, 2.1 KG  ","74,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MzQ2NTcwODc2NzA0NDU3OjE3Mjc3NjkwMjA6c3BfYnRmOjMwMDM0NDAzNDYyNzYzMjo6MDo6&url=%2FAcer-7-7735HS-Graphics-Windows-ANV15-41%2Fdp%2FB0DFWRZLK5%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2Y51ZQCOJMJ4Q%26dib%3DeyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727769020%26sprefix%3Dlaptop%252Caps%252C1067%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
4,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","26,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MzQ2NTcwODc2NzA0NDU3OjE3Mjc3NjkwMjA6c3BfYnRmOjMwMDE5MzkwOTY5NzAzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTSF1TK%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2Y51ZQCOJMJ4Q%26dib%3DeyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727769020%26sprefix%3Dlaptop%252Caps%252C1067%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
5,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2Nzg3Mjg3MDQ1NDg3NzE1OjE3Mjc3NjkwMzY6c3BfYXRmOjMwMDM1MDU1NTA1MzQzMjo6MDo6&url=%2FAcer-5-5625U-Premium-Windows-AL15-41%2Fdp%2FB0DG2GCTD7%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2Y51ZQCOJMJ4Q%26dib%3DeyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727769036%26sprefix%3Dlaptop%252Caps%252C1067%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
6,"Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 3050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41, 15.6"" FHD Display, 2.1 KG  ","67,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2Nzg3Mjg3MDQ1NDg3NzE1OjE3Mjc3NjkwMzY6c3BfYXRmOjMwMDM0NDAzNDYyNzUzMjo6MDo6&url=%2FAcer-7-7735HS-Graphics-Windows-ANV15-41%2Fdp%2FB0DFWVTQQ7%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2Y51ZQCOJMJ4Q%26dib%3DeyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727769036%26sprefix%3Dlaptop%252Caps%252C1067%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
7,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","36,990",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_3?crid=2Y51ZQCOJMJ4Q&dib=eyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto&dib_tag=se&keywords=laptop&qid=1727769036&sprefix=laptop%2Caps%2C1067&sr=8-3
8,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","29,990",https://amazon.in//Acer-i3-1305U-Premium-Windows-AL15-53/dp/B0DB1SDB87/ref=sr_1_4?crid=2Y51ZQCOJMJ4Q&dib=eyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto&dib_tag=se&keywords=laptop&qid=1727769036&sprefix=laptop%2Caps%2C1067&sr=8-4
9,HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU Laptop  ,"49,990",https://amazon.in//HP-Backlit-Keyboard-15-6-inch-fy5009TU/dp/B0D4M66F6R/ref=sr_1_5?crid=2Y51ZQCOJMJ4Q&dib=eyJ2IjoiMSJ9.g7mVjr2rVl2bNNSpSXofrqCNKEUBy-r_a-CIRfagAU1Nq5E47fj2gQ7-x7iTS_x3d-Tl2ZvGf1dq3isXjLpaV6tyFiGkPYGijbIr0TeZRI38Uim3PY5XLFY_IwJ591qx3I5gfzuHpePSod9zXo0O1plCyeFrHOi_JnLy5SKi3CwcnuhitsO_jkW7rnpQ1MBVBlIT7zi3WMLZ-Tzn-paFYD5vKH2vhgW-Pf2BB-WOQ1A.1p7Lf_5R47WNF_9cF0Y6Ph3rB68Z0k8irdZ5YoSOoto&dib_tag=se&keywords=laptop&qid=1727769036&sprefix=laptop%2Caps%2C1067&sr=8-5
